count,roblas-bench command
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11040 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10488 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 9768 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11496 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 8928 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11208 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12216 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 12120 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10416 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 446 -k 446 --alpha 1 --lda 18432 --stride_a 64 --ldb 446 --stride_b 198916 --beta 0 --ldc 64 --stride_c 28544 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10488 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 12192 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 8112 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11472 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 7488 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12288 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11544 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 326 -k 326 --alpha 1 --lda 18432 --stride_a 64 --ldb 326 --stride_b 106276 --beta 0 --ldc 64 --stride_c 20864 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 8376 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 9456 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 433 -k 433 --alpha 1 --lda 18432 --stride_a 64 --ldb 433 --stride_b 187489 --beta 0 --ldc 64 --stride_c 27712 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11616 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 6840 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11208 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 3768 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 494 -n 494 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 494 --stride_c 244036 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11568 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10584 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 8616 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 7632 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 11160 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 6336 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 9672 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8376 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10824 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10584 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 446 -n 446 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 446 --stride_c 198916 --batch 288
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 402 -k 402 --alpha 1 --lda 18432 --stride_a 64 --ldb 402 --stride_b 161604 --beta 0 --ldc 64 --stride_c 25728 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 7056 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 433 -n 433 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 433 --stride_c 187489 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 8400 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 8616 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10152 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 3072 -n 10728 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 3072
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 3768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 10152 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 7680 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 494 -k 494 --alpha 1 --lda 18432 --stride_a 64 --ldb 494 --stride_b 244036 --beta 0 --ldc 64 --stride_c 31616 --batch 288
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 449 -k 449 --alpha 1 --lda 18432 --stride_a 64 --ldb 449 --stride_b 201601 --beta 0 --ldc 64 --stride_c 28736 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 10872 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 14336 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 12024 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11952 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 12192 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 470 -n 470 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 470 --stride_c 220900 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 11952 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 9360 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 497 -n 497 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 497 --stride_c 247009 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 9024 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 10032 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 768 -n 12192 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 9024 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11040 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11904 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 768 -n 11832 -k 768 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
48,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 326 -n 326 -k 64 --alpha 1 --lda 18432 --stride_a 64 --ldb 18432 --stride_b 64 --beta 0 --ldc 326 --stride_c 106276 --batch 288
48,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 768 -n 768 -k 6840 --alpha 1 --lda 768 --ldb 768 --beta 0 --ldc 768
