count,roblas-bench command
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 2800 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3656 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3728 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3304 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3032 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3504 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 4008 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3728 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 2560 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3304 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 4080 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 3568 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 3720 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3920 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
192,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 3472 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
168,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 508 -k 508 --alpha 1 --lda 8192 --stride_a 64 --ldb 508 --stride_b 258064 --beta 0 --ldc 64 --stride_c 32512 --batch 128
168,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 472 -n 472 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 472 --stride_c 222784 --batch 128
168,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 508 -n 508 -k 64 --alpha 1 --lda 8192 --stride_a 64 --ldb 8192 --stride_b 64 --beta 0 --ldc 508 --stride_c 258064 --batch 128
